Id,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,Bedroom,GarageCars,TotRms,GrLivArea,SaleCondition,SalePrice
46,7658,NridgHt,9,5,2005,2,2,6,1752,Normal,319900
47,12822,Mitchel,7,5,2003,1,2,6,2149,Abnorml,239686
48,11096,Somerst,8,5,2006,3,3,7,1656,Normal,249700
49,4456,OldTown,4,5,1920,2,0,8,1452,Partial,113000
50,7742,Sawyer,5,7,1966,3,1,6,955,Normal,127000
51,13869,Gilbert,6,6,1997,3,2,6,1470,Normal,177000
52,6240,BrkSide,6,6,1934,3,2,6,1176,Normal,114500
53,8472,IDOTRR,5,5,1963,2,2,5,816,Normal,110000
54,50271,Veenker,9,5,1981,0,3,5,1842,Normal,385000
55,7134,NAmes,5,5,1955,3,2,6,1360,Normal,130000
56,10175,NAmes,6,5,1964,3,2,7,1425,Normal,180500
57,2645,Somerst,8,5,1999,3,2,7,1739,Abnorml,172500
58,11645,CollgCr,7,5,2004,3,2,7,1720,Normal,196500
59,13682,StoneBr,10,5,2006,3,3,10,2945,Partial,438780
60,7200,CollgCr,5,7,1972,2,1,4,780,Normal,124900
61,13072,SawyerW,6,5,2004,3,2,5,1158,Partial,158000
62,7200,IDOTRR,5,7,1920,3,1,6,1111,Normal,101000
63,6442,NridgHt,8,5,2006,2,2,6,1370,Normal,202500
64,10300,OldTown,7,6,1921,3,2,9,1710,Normal,140000
65,9375,CollgCr,7,5,1997,3,2,8,2034,Normal,219500
66,9591,NridgHt,8,5,2004,4,3,9,2473,Normal,317000
67,19900,NAmes,7,5,1970,3,2,7,2207,Normal,180000
68,10665,CollgCr,7,5,2003,3,2,7,1479,Normal,226000
69,4608,OldTown,4,6,1945,2,1,4,747,Normal,80000
70,15593,ClearCr,7,4,1953,3,2,7,2287,Normal,225000
71,13651,NAmes,7,6,1973,3,2,8,2223,Normal,244000
72,7599,Mitchel,4,6,1982,2,2,4,845,Normal,129500
73,10141,Gilbert,7,5,1998,3,2,7,1718,Normal,185000
74,10200,NAmes,5,7,1954,3,2,6,1086,Normal,144900
75,5790,OldTown,3,6,1915,3,1,8,1605,Normal,107400
76,1596,MeadowV,4,5,1973,2,1,5,988,Normal,91000
77,8475,NAmes,4,7,1956,2,1,4,952,Normal,135750
78,8635,BrkSide,5,5,1948,2,1,6,1285,Normal,127000
79,10778,Sawyer,4,5,1968,4,0,8,1768,Normal,136500
80,10440,OldTown,5,6,1910,2,2,5,1230,Normal,110000
81,13000,NAmes,6,6,1968,4,1,8,2142,Normal,193500
82,4500,Mitchel,6,5,1998,2,2,5,1337,Normal,153500
83,10206,Somerst,8,5,2007,3,3,6,1563,Normal,245000
84,8892,NAmes,5,5,1960,3,2,6,1065,Normal,126500
85,8530,Gilbert,7,5,1995,3,2,7,1474,Normal,168500
86,16059,NoRidge,8,5,1991,4,2,9,2417,Normal,260000
87,11911,Gilbert,6,5,2005,3,2,6,1560,Normal,174000
88,3951,Somerst,6,5,2009,2,2,4,1224,Partial,164500
89,8470,IDOTRR,3,2,1915,2,0,6,1526,Abnorml,85000
90,8070,CollgCr,4,5,1994,3,0,5,990,Normal,123600
91,7200,NAmes,4,5,1950,2,2,4,1040,Normal,109900
92,8500,NAmes,5,3,1961,2,2,6,1235,Abnorml,98600
93,13360,Crawfor,5,7,1921,2,2,5,964,Normal,163500
94,7200,OldTown,6,6,1910,4,2,9,2291,Normal,133900
95,9337,CollgCr,6,5,1997,3,2,7,1786,Normal,204750
96,9765,Gilbert,6,8,1993,3,2,6,1470,Normal,185000
97,10264,CollgCr,7,5,1999,3,2,6,1588,Normal,214000
98,10921,Edwards,4,5,1965,3,1,6,960,Normal,94750
99,10625,Edwards,5,5,1920,2,1,5,835,Abnorml,83000
100,9320,NAmes,4,5,1959,3,0,6,1225,Normal,128950
101,10603,NWAmes,6,7,1977,3,2,6,1610,Normal,205000
102,9206,SawyerW,6,5,1985,3,2,7,1732,Normal,178000
103,7018,SawyerW,5,5,1979,4,2,8,1535,Alloca,118964
104,10402,CollgCr,7,5,2009,3,3,6,1226,Normal,198900
105,7758,IDOTRR,7,4,1931,4,1,7,1818,Normal,169500
106,9375,Somerst,8,5,2003,3,2,9,1992,Normal,250000
107,10800,OldTown,4,7,1885,2,1,6,1047,Normal,100000
108,6000,OldTown,5,5,1948,2,1,5,789,Partial,115000
109,8500,IDOTRR,5,7,1919,3,0,7,1517,Normal,115000
110,11751,NWAmes,6,6,1977,3,2,7,1844,Normal,190000
111,9525,Edwards,6,4,1954,4,1,7,1855,Normal,136900
112,7750,Gilbert,7,5,2000,3,2,7,1430,Normal,180000
113,9965,CollgCr,7,5,2007,4,3,10,2696,Partial,383970
114,21000,Crawfor,6,5,1953,3,2,7,2259,Abnorml,217000
115,7259,Crawfor,6,8,1945,3,1,9,2320,Normal,259500
116,3230,Somerst,6,5,1999,2,2,5,1458,Normal,176000
117,11616,Sawyer,5,5,1962,3,1,6,1092,Normal,139000
118,8536,Edwards,5,5,2006,2,2,5,1125,Partial,155000
119,12376,SawyerW,7,5,1990,5,3,11,3222,Normal,320000
120,8461,CollgCr,6,5,2005,3,2,8,1456,Partial,163990
121,21453,ClearCr,6,5,1969,1,2,4,988,Normal,180000
122,6060,IDOTRR,4,5,1939,3,1,4,1123,Normal,100000
123,9464,NAmes,6,7,1958,3,1,5,1080,Normal,136000
124,7892,SawyerW,6,5,1993,2,2,5,1199,Normal,153900
125,17043,NWAmes,6,5,1979,3,2,7,1586,Normal,181000
126,6780,IDOTRR,6,8,1935,2,0,5,754,Normal,84500
127,4928,NPkVill,6,5,1976,2,2,5,958,Normal,128000
128,4388,OldTown,5,7,1930,3,0,5,840,Normal,87000
129,7590,NAmes,6,5,1966,3,2,6,1348,Normal,155000
130,8973,NAmes,5,7,1958,3,2,6,1053,Abnorml,150000
131,14200,NAmes,7,6,1966,4,2,8,2157,Normal,226000
132,12224,Gilbert,6,5,2000,3,2,7,2054,Normal,244000
133,7388,NAmes,5,6,1959,3,2,7,1327,Normal,150750
134,6853,Timber,8,5,2001,2,2,6,1296,Normal,220000
135,10335,Sawyer,5,6,1968,3,2,7,1721,Normal,180000
136,10400,NWAmes,7,6,1970,3,2,7,1682,Normal,174000
137,10355,NAmes,5,5,1967,3,1,5,1214,Normal,143000
138,11070,Mitchel,7,5,1988,5,3,9,1959,Family,171000
139,9066,CollgCr,8,5,1999,3,3,7,1852,Normal,230000
140,15426,CollgCr,6,5,1997,3,2,7,1764,Normal,231500
141,10500,NAmes,4,5,1971,3,0,5,864,Normal,115000
142,11645,CollgCr,7,5,2005,3,2,7,1734,Normal,260000
143,8520,NAmes,5,4,1952,4,2,6,1385,Normal,166000
144,10335,CollgCr,7,5,1999,3,2,6,1501,Normal,204000
145,9100,Sawyer,5,5,1963,6,2,10,1728,Abnorml,125000
146,2522,Edwards,6,5,2004,3,2,7,1709,Normal,130000
147,6120,BrkSide,5,7,1931,2,1,5,875,Normal,105000
148,9505,Gilbert,7,5,2001,3,2,8,2035,Normal,222500
149,7500,SawyerW,7,5,2004,3,0,6,1080,Normal,141000
150,6240,BrkSide,5,4,1936,3,1,7,1344,Normal,115000
151,10356,CollgCr,5,6,1975,3,2,5,969,Normal,122000
152,13891,NridgHt,8,5,2007,2,3,6,1710,Partial,372402
153,14803,NWAmes,6,5,1971,4,2,8,1993,Normal,190000
154,13500,ClearCr,6,7,1960,1,2,4,1252,Normal,235000
155,11340,OldTown,6,5,1923,4,1,7,1200,Family,125000
156,9600,Edwards,6,5,1924,2,0,5,1096,Normal,79000
157,7200,NAmes,5,7,1950,2,2,5,1040,Normal,109500
158,12003,Timber,8,5,2009,4,3,8,1968,Partial,269500
159,12552,Somerst,7,5,2004,3,2,8,1947,Normal,254900
160,19378,Gilbert,7,5,2005,4,2,9,2462,Partial,320000
161,11120,Veenker,6,6,1984,3,2,6,1232,Normal,162500
162,13688,NridgHt,9,5,2003,3,3,10,2668,Normal,412500
163,12182,NridgHt,7,5,2005,3,2,7,1541,Partial,220000
164,5500,OldTown,4,6,1956,1,0,4,882,Normal,103200
165,5400,OldTown,6,7,1926,3,1,5,1616,Normal,152000
166,10106,Edwards,5,7,1940,4,0,6,1355,Normal,127500
167,10708,ClearCr,5,5,1955,2,1,7,1867,Normal,190000
168,10562,NridgHt,8,5,2007,3,3,8,2161,Partial,325624
169,8244,Gilbert,7,5,2004,3,2,7,1720,Normal,183500
170,16669,Timber,8,6,1981,2,2,6,1707,Normal,228000
171,12358,OldTown,5,6,1941,2,2,7,1382,Normal,128500
172,31770,NAmes,6,5,1960,3,2,7,1656,Normal,215000
173,5306,StoneBr,7,7,1987,2,2,5,1767,Normal,239000
174,10197,NAmes,6,5,1961,3,2,6,1362,Normal,163000
175,12416,Timber,6,5,1986,3,2,7,1651,Normal,184000
176,12615,Edwards,6,7,1950,4,2,7,2158,Normal,243000
177,10029,ClearCr,6,5,1988,4,2,8,2060,Normal,211000
178,13650,Sawyer,5,5,1958,4,2,8,1920,Normal,172500
179,17423,StoneBr,9,5,2008,1,3,9,2234,Partial,501837
180,8520,OldTown,5,6,1923,2,2,5,968,Normal,100000
181,2117,Somerst,6,5,2000,3,2,5,1525,Normal,177000
182,7588,Crawfor,7,6,1920,4,1,9,1802,Normal,200100
183,9060,Edwards,5,6,1957,3,1,7,1340,Normal,120000
184,11426,OldTown,7,5,2003,3,2,6,2082,Normal,200000
185,7438,BrkSide,5,8,1908,3,2,5,1252,Normal,127000
186,22950,OldTown,10,9,1892,4,3,12,3608,Normal,475000
187,9947,Mitchel,7,5,1990,3,2,6,1217,Normal,173000
188,10410,OldTown,5,7,1916,3,1,8,1656,Normal,135000
189,7018,SawyerW,5,5,1979,2,2,6,1224,Alloca,153337
190,4923,StoneBr,8,5,2001,0,2,5,1593,Normal,286000
191,10570,Crawfor,8,8,1932,3,2,10,2727,Normal,315000
192,7472,NAmes,7,9,1972,4,2,7,1479,Normal,184000
193,9017,CollgCr,7,5,1999,3,2,6,1431,Normal,192000
194,2522,Edwards,7,5,2004,3,2,7,1709,Normal,130000
195,7180,CollgCr,5,7,1972,3,1,5,864,Normal,127000
196,2280,NPkVill,6,6,1976,3,2,7,1456,Normal,148500
197,9416,Somerst,7,5,2007,3,3,8,1726,Partial,311872
198,25419,NAmes,8,4,1918,4,2,8,3112,Abnorml,235000
199,5520,OldTown,6,6,1912,5,0,8,2229,Abnorml,104000
200,9591,NridgHt,8,5,2004,3,3,7,1713,Normal,274900
201,8546,Edwards,4,5,2003,2,2,5,1121,Normal,140000
202,10125,Mitchel,6,6,1977,3,2,6,1279,Normal,171500
203,7000,OldTown,6,6,1924,2,1,6,1310,Normal,112000
204,4438,CollgCr,6,5,2004,1,2,3,848,Normal,149000
205,3500,OldTown,5,7,1947,2,1,5,1284,Normal,110000
206,11851,Gilbert,7,5,1990,3,2,5,1442,Normal,180500
207,13673,Sawyer,5,5,1962,3,1,8,1696,Normal,143900
208,12493,NAmes,4,5,1960,3,1,6,1100,Normal,141000
209,14364,SawyerW,7,5,1988,3,2,7,2062,Normal,277000
210,8250,NAmes,6,7,1964,3,2,6,1092,Normal,145000
211,5604,Edwards,5,6,1925,2,0,5,864,Normal,98000
212,10420,Edwards,6,5,2009,3,2,6,1212,Normal,186000
213,8640,Somerst,7,5,2009,3,2,7,1852,Partial,252678
214,13568,CollgCr,5,5,1995,3,2,5,990,Normal,156000
215,10900,CollgCr,6,7,1977,3,1,6,1392,Normal,161750
216,10011,NAmes,5,6,1957,2,1,6,1236,Normal,134450
217,8450,CollgCr,7,5,2004,3,2,8,1436,Normal,210000
218,9906,OldTown,4,4,1925,3,1,8,1328,Family,107000
219,15660,Crawfor,7,9,1939,3,2,8,1954,Normal,311500
220,3010,Blmngtn,7,5,2005,2,2,5,1248,Partial,167240
221,8990,CollgCr,7,5,2006,2,2,5,1498,Partial,204900
222,8068,Gilbert,6,5,2002,4,2,8,2267,Normal,200000
223,11475,NWAmes,6,6,1975,3,2,6,1552,Normal,179900
224,10500,NAmes,4,6,1971,2,2,4,864,Abnorml,97000
225,13472,NridgHt,10,5,2003,3,3,8,2392,Normal,386250
226,1680,BrDale,5,5,1971,3,1,6,1302,Abnorml,112000
227,9950,NoRidge,7,5,1995,4,3,9,2520,Abnorml,290000
228,1869,BrDale,6,6,1970,2,1,5,987,Normal,106000
229,8521,Sawyer,5,5,1967,3,1,5,912,Normal,125000
230,3182,Blmngtn,7,5,2005,2,2,7,1555,Normal,192500
231,8760,NAmes,6,6,1959,3,1,6,1194,Normal,148000
232,15138,NoRidge,8,5,1995,4,3,9,2794,Normal,403000
233,1680,BrDale,6,5,1972,2,1,5,987,Normal,94500
234,10650,CollgCr,5,6,1976,3,1,5,894,Normal,128200
235,7851,Gilbert,6,5,2002,4,2,8,1960,Normal,216500
236,1680,BrDale,6,3,1971,2,1,5,987,Normal,89500
237,8773,CollgCr,7,5,2004,3,2,6,1414,Normal,185500
238,9453,SawyerW,7,7,1993,3,2,7,1744,Normal,194500
239,12030,NridgHt,8,5,2007,3,3,7,1694,Partial,318000
240,8741,Edwards,6,4,1945,3,1,7,1487,Normal,113000
241,9000,Somerst,8,5,2008,3,2,7,1566,Normal,262500
242,3880,OldTown,5,9,1945,2,0,4,866,Normal,110500
243,5000,OldTown,5,4,1900,3,1,6,1440,Normal,79000
244,10762,SawyerW,6,6,1980,3,1,6,1217,Normal,120000
245,8880,SawyerW,7,5,1994,3,2,8,2110,Normal,205000
246,10400,NWAmes,7,5,1988,3,2,6,1872,Normal,241500
247,9142,OldTown,6,8,1910,4,1,9,1928,Normal,137000
248,11310,NAmes,6,5,1954,2,2,5,1375,Normal,140000
249,11317,CollgCr,7,5,2003,3,2,8,1668,Normal,180000
250,159000,ClearCr,6,7,1958,4,2,7,2144,Normal,277000
251,5350,BrkSide,3,2,1940,3,0,6,1306,Normal,76500
252,4750,Crawfor,8,5,2006,2,2,5,1625,Family,235000
253,8366,SawyerW,6,5,2004,3,2,6,1640,Normal,173000
254,9350,NAmes,6,7,1964,3,1,7,1302,Normal,158000
255,8400,NAmes,5,6,1957,3,1,5,1314,Normal,145000
256,8738,Gilbert,7,5,1999,4,2,8,2291,Normal,230000
257,8791,Somerst,6,5,2003,3,2,7,1728,Normal,207500
258,8814,CollgCr,7,5,2006,3,2,8,1604,Abnorml,220000
259,12435,CollgCr,7,5,2001,3,2,7,1792,Normal,231500
260,12702,OldTown,5,5,1956,2,1,4,882,Normal,97000
261,19296,NAmes,6,5,1962,3,2,6,1382,Normal,176000
262,9588,CollgCr,8,5,2007,3,3,10,2574,Partial,276000
263,8471,Sawyer,6,7,1977,3,2,6,1212,Normal,151000
264,5500,OldTown,5,7,1929,3,2,6,1316,Normal,130000
265,5232,OldTown,5,5,1925,2,2,4,764,Normal,73000
266,12090,NWAmes,6,6,1981,3,2,7,1422,Normal,175500
267,11207,Gilbert,6,5,1997,3,2,8,1511,Normal,185000
268,8400,SWISU,5,8,1939,4,1,8,2192,Normal,179500
269,6900,IDOTRR,5,6,1940,2,1,4,778,Normal,120500
270,7917,Edwards,6,7,1976,3,1,6,1113,Normal,148000
271,10728,Somerst,8,5,2006,3,3,8,1939,Partial,266000
272,39104,ClearCr,7,7,1954,2,2,5,1363,Normal,241500
273,11764,NoRidge,8,7,1999,4,3,9,2270,Normal,290000
274,9600,NAmes,6,6,1958,3,1,6,1632,Normal,139000
275,8314,Mitchel,5,7,1982,2,1,5,816,Normal,124500
276,7264,BrkSide,7,7,1925,3,2,5,1548,Normal,205000
277,9196,Mitchel,7,5,2003,3,2,7,1560,Normal,201000
278,19138,Gilbert,4,5,1951,2,2,4,864,Normal,141000
279,14450,NridgHt,9,5,2006,3,3,8,2121,Partial,415298
280,10005,ClearCr,7,5,1977,4,2,8,2022,Normal,192000
281,11287,SawyerW,7,6,1989,3,2,7,1982,Normal,228500
282,7200,Somerst,6,5,2006,2,2,5,1262,Partial,185000
283,5063,NridgHt,7,5,2007,2,2,6,1314,Normal,207500
284,9612,Somerst,8,5,2008,3,3,6,1468,Partial,244600
285,8012,SawyerW,6,5,1992,2,2,5,1575,Normal,179200
286,4251,Somerst,7,5,2006,2,2,5,1250,Partial,164700
287,9786,NAmes,6,7,1962,3,2,7,1734,Normal,159000
288,8125,NAmes,4,4,1971,3,0,5,858,Normal,88000
289,9819,Sawyer,5,5,1967,3,1,5,900,Normal,122000
290,8730,BrkSide,6,7,1915,3,1,7,1396,Normal,153575
291,15611,CollgCr,8,5,2006,3,2,8,1919,Partial,233230
292,5687,SWISU,5,6,1912,6,0,9,1716,Normal,135900
293,11409,Edwards,5,4,1949,3,1,8,1716,Normal,131000
294,16659,NWAmes,7,7,1977,3,2,9,2263,Normal,235000
295,9600,NAmes,6,5,1953,3,2,7,1644,Normal,167000
296,7937,Mitchel,6,6,1984,3,2,6,1003,Normal,142500
297,13710,IDOTRR,5,5,1950,4,1,6,1558,Normal,152000
298,7399,Somerst,7,5,1997,3,2,7,1950,Normal,239000
299,11700,NWAmes,6,6,1968,3,2,7,1743,Normal,175000
300,14000,Crawfor,6,8,1950,3,1,6,1152,Family,158500
301,15750,Crawfor,5,5,1953,2,1,5,1336,Normal,157000
302,16226,CollgCr,8,5,1998,4,2,9,2452,Normal,267000
303,13704,CollgCr,7,5,2001,3,3,6,1541,Normal,205000
304,9800,CollgCr,5,7,1972,3,2,5,894,Abnorml,149900
305,18386,OldTown,7,9,1880,3,3,10,3493,Normal,295000
306,10386,CollgCr,8,5,2004,3,3,8,2000,Normal,305900
307,13474,SawyerW,7,5,1990,4,3,8,2243,Normal,225000
308,7920,IDOTRR,6,7,1920,3,0,6,1406,Normal,89500
309,12342,Edwards,4,5,1940,1,2,4,861,Normal,82500
310,12378,NridgHt,9,5,2003,3,3,8,1944,Normal,360000
311,7685,Gilbert,6,5,1993,3,2,6,1501,Normal,165600
312,8000,NAmes,6,6,1948,2,1,5,972,Normal,132000
313,7800,OldTown,5,7,1939,3,2,5,1118,Normal,119900
314,215245,Timber,7,5,1965,3,2,8,2036,Normal,375000
315,9600,OldTown,7,7,1925,3,2,6,1641,Normal,178000
316,7795,Gilbert,7,5,2004,3,2,6,1432,Normal,188500
317,13005,NWAmes,7,7,1980,4,2,10,2353,Normal,260000
318,9000,Somerst,8,5,2006,3,3,8,1959,Normal,270000
319,9900,NoRidge,7,5,1993,4,3,9,2646,Normal,260000
320,14115,NWAmes,7,5,1980,3,2,6,1472,Normal,187500
321,16259,NridgHt,9,5,2006,4,3,9,2596,Partial,342643
322,12099,NridgHt,8,5,2004,4,3,10,2468,Normal,354000
323,10380,SawyerW,7,5,1986,4,2,8,2730,Normal,301000
324,5820,OldTown,3,8,1955,3,1,6,1163,Normal,126175
325,11275,NAmes,7,7,1967,5,2,11,2978,Normal,242000
326,5000,IDOTRR,5,6,1941,2,2,5,803,Normal,87000
327,10846,Veenker,8,5,1993,1,2,6,1719,Normal,324000
328,11600,NAmes,6,5,1960,3,1,7,1383,Normal,145250
329,11888,BrkSide,6,6,1916,5,2,10,2134,Normal,214500
330,6402,IDOTRR,5,5,1920,3,1,6,1192,Normal,78000
331,10624,NAmes,5,4,1964,6,1,10,1728,Normal,119000
332,8176,NAmes,5,6,1958,3,1,6,1056,Normal,139000
333,10655,NridgHt,8,5,2003,3,3,7,1629,Normal,284000
334,8198,NridgHt,7,5,2004,2,2,6,1358,Normal,207000
335,9042,Gilbert,6,5,1998,3,2,7,1638,Normal,192000
336,164660,Timber,5,6,1965,3,2,7,1786,Normal,228950
337,14157,StoneBr,9,5,2005,3,3,8,1922,Normal,377426
338,9135,CollgCr,7,5,2002,3,2,7,1536,Normal,214000
339,14145,NWAmes,7,7,1984,3,2,8,1621,Normal,202500
340,12400,NAmes,6,7,1958,3,1,6,1215,Normal,155000
341,14191,Timber,8,5,2002,4,2,9,1908,Normal,202900
342,8400,SawyerW,4,4,1950,2,1,4,841,Normal,82000
343,8544,NAmes,3,4,1949,2,2,6,1040,Normal,87500
344,8849,NridgHt,9,5,2005,2,2,6,1684,Normal,266000
345,2592,MeadowV,5,3,1976,3,1,4,1112,Normal,85000
346,6435,BrkSide,6,5,1939,3,1,6,1577,Normal,140200
347,12772,NAmes,6,8,1960,2,1,5,958,Normal,151500
348,17600,NAmes,6,5,1960,3,2,6,1478,Normal,157500
349,2448,NridgHt,7,5,2003,2,2,6,1626,Normal,154000
350,20431,NridgHt,9,5,2005,4,3,10,2728,Partial,437154
351,7820,NridgHt,9,5,2007,2,2,6,1869,Partial,318061
352,5271,ClearCr,7,5,1986,2,2,6,1453,Abnorml,190000
353,9084,Edwards,5,6,1941,3,1,5,1111,Normal,95000
354,8520,OldTown,6,8,1928,2,2,5,720,Normal,105900
355,8400,SWISU,6,5,1940,2,1,6,1595,Normal,140000
356,11249,CollgCr,6,5,1995,3,2,6,1200,Normal,177500
357,9248,Gilbert,6,6,1992,3,2,6,1167,Normal,173000
358,4224,MeadowV,5,5,1976,3,2,6,1142,Normal,134000
359,6930,ClearCr,5,4,1958,3,1,6,1352,Abnorml,130000
360,12011,NoRidge,8,5,1998,3,2,7,1924,Normal,280000
361,7540,Mitchel,6,6,1978,2,2,5,912,Normal,156000
362,9144,BrkSide,5,5,1940,3,1,8,1505,Normal,145000
363,7301,Edwards,7,5,2003,4,2,7,1922,Normal,198500
364,1680,BrDale,6,8,1972,2,1,5,987,Normal,118000
365,18800,NWAmes,6,5,1976,3,2,6,1574,Normal,190000
366,10690,IDOTRR,5,7,1920,3,1,6,1344,Normal,147000
367,9500,NAmes,6,5,1963,3,2,6,1394,Normal,159000
368,9150,NAmes,6,5,1962,3,1,6,1431,Normal,165000
369,7800,NAmes,5,6,1954,2,1,7,1268,Normal,132000
370,9830,NAmes,5,7,1959,3,2,7,1287,Normal,162000
371,8121,Gilbert,6,5,2000,3,2,7,1664,Normal,172400
372,17120,ClearCr,4,4,1959,4,2,7,1588,Normal,134432
373,7175,SawyerW,6,5,1984,2,1,4,752,Normal,125000
374,10634,NAmes,5,6,1953,3,1,5,1319,Normal,123000
375,8200,CollgCr,7,5,2003,4,2,8,1928,Normal,219500
376,10020,Edwards,1,1,1922,1,0,4,904,Normal,61000
377,8846,CollgCr,5,5,1996,2,2,5,914,Normal,148000
378,11143,Somerst,8,5,2004,4,2,8,2466,Normal,340000
379,11394,StoneBr,9,2,2010,1,3,8,1856,Partial,394432
380,8123,Gilbert,6,5,2000,3,2,7,1800,Normal,179000
381,5000,SWISU,5,6,1924,3,1,6,1691,Normal,127000
382,7200,Somerst,7,5,2006,2,2,5,1301,Partial,187750
383,9245,CollgCr,7,5,2006,3,2,8,1797,Normal,213500
384,9000,SawyerW,6,3,1928,2,2,5,784,Normal,76000
385,53107,ClearCr,6,5,1992,3,2,9,1953,Normal,240000
386,3182,Blmngtn,8,5,2004,2,2,6,1269,Normal,192000
387,8410,Edwards,5,3,1910,5,0,8,1184,AdjLand,81000
388,7200,Edwards,6,6,1976,3,1,6,1125,Abnorml,125000
389,9382,CollgCr,7,5,1999,3,2,6,1479,Normal,191000
390,12474,NridgHt,10,5,2007,3,3,9,2332,Partial,426000
391,8405,Edwards,5,8,1900,4,1,7,1367,Normal,119000
392,12209,Mitchel,6,5,2001,3,2,7,1961,Normal,215000
393,8339,NAmes,5,7,1959,3,1,5,882,Normal,106500
394,7446,BrkSide,4,5,1941,2,0,4,788,Abnorml,100000
395,10134,OldTown,5,6,1940,2,1,5,1034,Normal,109000
396,9571,Edwards,5,6,1956,3,1,6,1144,Normal,129000
397,7200,CollgCr,5,5,1972,2,2,6,894,Normal,123000
398,7590,NAmes,5,5,1962,4,1,8,1812,Normal,169500
399,8967,IDOTRR,5,2,1920,2,1,6,1077,Abnorml,67000
400,8125,Somerst,7,5,2006,2,2,7,1550,Normal,241000
401,14963,Veenker,8,5,1996,1,2,4,1288,Normal,245500
402,8767,CollgCr,7,5,2005,3,2,6,1310,Partial,164990
403,10200,Sawyer,5,8,1940,2,1,4,672,Normal,108000
404,12090,NoRidge,8,5,1998,4,2,10,2263,Abnorml,258000
405,10364,Gilbert,6,5,1995,3,2,7,1572,Normal,168000
406,9991,Sawyer,4,4,1976,3,2,8,1620,Normal,150000
407,10480,SWISU,6,5,1936,3,1,6,1639,Normal,115000
408,15576,Crawfor,6,7,1915,4,1,8,1680,Normal,177000
409,14154,NridgHt,7,5,2006,3,3,9,2172,Partial,280000
410,10800,Somerst,8,5,2007,3,3,8,2078,Partial,339750
411,9571,Edwards,5,3,1958,3,1,5,1276,Abnorml,60000
412,34650,Gilbert,5,5,1955,3,2,5,1056,Normal,145000
